string,pred
"12 tablespoons (1 1/2 sticks) cold unsalted butter, cut into 1/4-inch slices",unsalted butter
"12 to 16 flour tortillas, warmed",flour tortillas
"12 to 16 whole jumbo shell-on, head-on shrimp, about 1 pound",shrimp
12 whole clove,clove
12-15 breakfast sausage links,bread
12.5 grams pink curing salt (optional),red salt
1200 g amer picon,amer picon
1200 g apricot liqueur,apricot liqueur
"1200 g black coffee, hot",black sea
1200 g brandy,brandy
1200 g brewed chamomile tea,brewed chamomile tea
1200 g campari,campari
1200 g cava,cava
1200 g chicory-infused rye whiskey,rye whiskey powder
1200 g coffee,coffee
"1200 g coffee, hot (optional)",coffee
"1200 g dry sparkling wine, chilled",sparkling wine
1200 g dubonnet,dubonnet
1200 g elderflower liqueur,elderflower liqueur
1200 g fresh pomegranate juice,pomegranate juice
1200 g freshly squeezed lemon juice,lemon juice
1200 g freshly squeezed lime juice,lime juice
1200 g ginger juice,ginger juice
"1200 g ginger juice, fresh",ginger juice
1200 g granny smith apple cider,sparkling apple cider
"1200 g grapefruit juice, freshly squeezed",grapefruit juice
1200 g green chartreuse,green chartreuse
1200 g grenadine,grenadine
1200 g half and half,half and half
1200 g heavy cream,heavy cream
1200 g honey,honey
"1200 g large lime juice, fresh",lime juice
1200 g lemon juice,lemon juice
"1200 g lemon juice, freshly squeezed",lemon juice
1200 g passionfruit simple syrup,simple syrup
1200 g pear brandy,pear brandy
1200 g sage simple syrup,simple syrup
1200 g scotch,scotch
"1200 g seltzer, chilled",seltzer
1200 g simple syrup,simple syrup
1200 g tequila (optional),tequila
"1200 g water, boiling",water
1200 g whiskey,whiskey
1200 g white vermouth,white vermouth
1200 ml amaretto,amaretto
1200 ml aperol,aperol
1200 ml apple cider,apple cider
1200 ml apricot brandy,apricot brandy
1200 ml brewed chamomile tea,brewed chamomile tea
1200 ml cachaca,cachaca
1200 ml cardamom-infused bourbon,bourbon
1200 ml club soda,club soda
1200 ml cocchi americano,cocchi americano
1200 ml cointreau,cointreau
1200 ml curacao,curacao
1200 ml cynar,cynar
1200 ml drinking vinegar,vinegar vinegar
"1200 ml dry lambrusco, chilled",vodka
1200 ml elderflower liqueur,elderflower liqueur
1200 ml gran classico,gran classico
"1200 ml grapefruit juice, freshly squeezed",grapefruit juice
1200 ml grenadine,grenadine
"1200 ml large lime juice, fresh",lime juice
1200 ml lemon simple syrup,poppy simple syrup
"1200 ml lemon, fresh",lemon
1200 ml lillet blonde (optional),lillet blonde
1200 ml molasses,molasses
1200 ml peach liqueur,peach liqueur
"1200 ml pink grapefruit juice, freshly squeezed",pink grapefruit juice
1200 ml port,port
1200 ml red wine,red wine
1200 ml semisweet chocolate chip,chocolate chip
1200 ml simple syrup,simple syrup
1200 ml spiced rum,spiced rum
"1200 ml water, hot (optional)",water
1200 ml whiskey,whiskey
1200 ml white rum,white rum
1200g agave nectar (optional),agave nectar
1200g aged rum,aged rum
1200g amaro (optional),amaro
1200g benedictine,benedictine
1200g cardamom pod,cardamom pod
1200g cava (optional),cava
1200g chilled champagne,champagne
1200g citrus vodka,citrus vodka
1200g cocchi americano,cocchi americano
"1200g coffee, hot (optional)",coffee curacao
1200g cranberry juice,cranberry juice
1200g curacao,curacao
1200g cynar,cynar
1200g demerara simple syrup,simple simple syrup
1200g irish whiskey,rainbow whiskey
1200g orange ginger simple syrup,ginger simple syrup
1200g peach liqueur,peach liqueur
1200g pear brandy,pear brandy
1200g pimms,pimms
"1200g pineapple juice, freshly squeezed",pineapple juice
"1200g pink grapefruit juice, fresh",pink grapefruit juice
1200g pisco,pisco
1200g rose champagne,rose petal
1200g tequila,tequila
1200g tonic water,tonic water
1200g unfiltered apple cider,apple cider
1200g unsweetened pomegranate juice,pomegranate juice
"1200g water, boiling",water
"1200g water, hot (optional)",water
1200g white rum,white rum
1200ml agave nectar (optional),agave nectar
1200ml blanco tequila,blanco tequila
1200ml brandy,brandy
1200ml campari,campari
1200ml cardamom simple syrup,chamomile tea
1200ml cava (optional),cava
"1200ml celery juice, fresh",celery juice
1200ml champagne,champagne
1200ml cherry heering,cherry heering
1200ml chilled ginger beer,ginger beer
1200ml club soda,club soda
"1200ml cocchi americano, chilled",cocchi americano
1200ml demerara simple syrup,simple simple syrup
1200ml freshly squeezed lemon juice,lemon juice
1200ml ginger beer,ginger beer
1200ml ginger juice,ginger juice
1200ml grapefruit liqueur,grapefruit liqueur
1200ml grapefruit soda,grapefruit soda
1200ml grenadine,grenadine
1200ml ice cube,ice cube
"1200ml large lime juice, fresh",lime juice
1200ml lavender simple syrup,simple syrup
"1200ml lemon juice, fresh (optional)",lemon juice
"1200ml lemon, freshly squeezed",lemon
1200ml lillet blanc,lillet blanc
"1200ml lime juice, fresh",lime juice
1200ml mezcal,mezcal
1200ml mint-flavored simple syrup,simple syrup
"1200ml pink grapefruit juice, freshly squeezed",pink grapefruit juice
1200ml pisco,pisco
1200ml red wine,red wine
1200ml rich simple syrup,simple syrup
1200ml sage simple syrup,simple syrup
"1200ml seltzer, chilled",seltzer
1200ml simple syrup,simple syrup
"1200ml strawberry, sliced (optional)",strawberry
1200ml tawny port,port
1200ml unfiltered apple cider,apple cider
1200ml vodka,vodka
1200ml white vermouth,white vermouth
1200ml whole milk,whole milk
120ml fresh clementine juice (about 2-3 clementines),clementine
120ml Grand Marnier,grand marnier
120ml pineapple juice,pineapple juice
1250 g agave nectar,agave nectar
1250 g aged rum,aged rum
1250 g ale,ale
1250 g allspice bitters,peychauds
1250 g blanco tequila,blanco tequila
1250 g bornholmer bitter,bornholmer bitter
1250 g brewed chamomile tea,brewed chamomile tea
1250 g brut sparkling wine,sparkling wine
1250 g cardamom-infused bourbon,bourbon
"1250 g cava, chilled",cava
1250 g chilled champagne,champagne
1250 g club soda,club soda
"1250 g cucumber juice, fresh",cucumber juice
1250 g cynar,cynar
"1250 g dry lambrusco, chilled",vodka
1250 g dubonnet rouge,dubonnet rouge
1250 g elderflower liqueur,elderflower liqueur
1250 g freshly squeezed lemon juice,lemon juice
1250 g gran classico,gran classico
1250 g green chartreuse,green chartreuse
"1250 g hot, freshly brewed black coffee",black black bass
1250 g Jameson whiskey,whiskey whiskey
"1250 g kale juice, fresh",kale juice
"1250 g lemon, fresh",lemon
1250 g pine liqueur,pine liqueur
1250 g pineapple juice,pineapple juice
1250 g pisco,pisco
1250 g prosecco,prosecco
1250 g rich simple syrup,simple syrup
1250 g rooibos simple syrup,narrow malt syrup
1250 g tomato juice,tomato juice
"1250 g water, boiling",water
"1250 g water, hot (optional)",water
1250 g white rum,white rum
1250 ml absinthe,absinthe
1250 ml aged rum,aged rum
1250 ml allspice bitters,bitters
1250 ml amer picon,amer picon
1250 ml apple cider,apple cider
1250 ml brandy,brandy
1250 ml campari,campari
1250 ml chilled champagne,champagne
"1250 ml cool, filtered water",water water
1250 ml dark rum,dark rum
1250 ml drinking vinegar,vinegar
"1250 ml dry vermouth, chilled",dry vermouth
1250 ml elderflower liqueur,elderflower liqueur
1250 ml falernum,falernum
"1250 ml ginger beer, room temperature",ginger beer
1250 ml granulated sugar,granulated sugar
"1250 ml hard cider, chilled",hard cider
"1250 ml hot, freshly brewed black coffee",black black bass
1250 ml lillet rouge,lillet rouge
1250 ml maraschino liqueur,maraschino liqueur
1250 ml orange ginger simple syrup,ginger simple syrup
"1250 ml orange juice, freshly squeezed",orange juice
1250 ml orgeat,orgeat
1250 ml pineapple juice,pineapple juice
1250 ml pisco,pisco
1250 ml port,port
1250 ml rich simple syrup,simple syrup
1250 ml rosemary simple syrup,simple syrup
1250 ml saint germain,saint germain
"1250 ml seltzer, chilled",seltzer
1250 ml tonic water,tonic water
"1250 ml water, boiling",water
1250g aquavit,aquavit
1250g benedictine,benedictine
1250g brandy,brandy
"1250g celery juice, fresh",celery juice
1250g chilled champagne,champagne
"1250g dry vermouth, chilled",dry vermouth
1250g ginger beer,ginger beer
1250g ginger liqueur,ginger liqueur
1250g granulated sugar,granulated sugar
1250g grape simple syrup,ginger simple
1250g grenadine,grenadine
1250g honey,honey
"1250g mango, diced",mango
1250g molasses,molasses
1250g montenegro amaro,montenegro amaro
1250g pineapple juice,pineapple juice
1250g pisco,pisco
1250g punt e mes,punt e mes
1250g rum,rum
"1250g simple syrup, made with honey instead of sugar",simple syrup
1250g spiced rum,spiced rum
1250g vanilla simple syrup,chia simple syrup
1250ml amaro (optional),amaro
"1250ml apple cider, fresh",apple cider
1250ml averna,averna
1250ml bornholmer bitter,bornholmer bitter
"1250ml cocchi americano, chilled",cocchi americano
1250ml creme de cacao,creme de cacao
1250ml cynar,cynar
1250ml demerara simple syrup,simple simple syrup
1250ml dubonnet,dubonnet
1250ml freshly squeezed lemon juice,lemon juice
1250ml gran classico,gran classico
"1250ml grapefruit juice, freshly squeezed",grapefruit juice
"1250ml large lime juice, fresh",lime juice
"1250ml lemon, freshly squeezed",lemon
1250ml pisco,pisco
1250ml port,port
"1250ml red grapefruit, fresh",red grapefruit
1250ml rosemary simple syrup,simple syrup
1250ml simple syrup,simple syrup
1250ml sparkling wine,sparkling wine
1250ml tequila (optional),tequila
1250ml vermouth,vermouth
1250ml water,water
"1250ml water, hot",water
1250ml white vermouth,white vermouth
1250ml whole milk,whole milk
125ml Cointreau,cointreau
125ml lemon juice,lemon juice
125ml sparkling water,brown sugar
13 ounces water,water
1300 g aperol,aperol
1300 g apple cider,apple cider
"1300 g apple cider, fresh",apple cider
1300 g aquavit,aquavit
1300 g averna,averna
1300 g blanco tequila,blanco tequila
1300 g bourbon,bourbon
1300 g campari,campari
"1300 g champagne, approximately",champagne
1300 g cherry simple syrup,ginger simple syrup
1300 g chilled champagne,champagne
1300 g cocchi americano,cocchi americano
"1300 g cucumber juice, fresh",cucumber juice
1300 g curacao,curacao
1300 g cynar,cynar
1300 g demerara simple syrup,simple simple syrup
"1300 g dry vermouth, chilled",dry vermouth
1300 g fresh egg white,egg white
1300 g freshly squeezed lemon juice,lemon juice
1300 g freshly squeezed lime juice,lime juice
1300 g ginger juice,ginger juice
1300 g grapefruit juice,grapefruit juice
1300 g grenadine,grenadine
"1300 g lemon juice, fresh",lemon juice
"1300 g lemon juice, freshly squeezed",lemon juice
"1300 g lemon, freshly squeezed",lemon
1300 g lillet blonde (optional),lillet blonde
1300 g maple syrup,maple syrup
1300 g old tom gin,old tom gin
1300 g sage simple syrup,simple syrup
1300 g single-malt scotch (optional),scotch
"1300 g smoked brewed black tea, such as lapsang souchong",brewed black tea
1300 g tequila (optional),tequila
1300 g unfiltered apple cider,apple cider
1300 g vanilla,vanilla
1300 g walnut liqueur,walnut liqueur
1300 g water,water
1300 g whiskey,whiskey
1300 g white balsamic vinegar,white balsamic vinegar
1300 g whole milk,whole milk
1300 ml agave nectar,agave nectar
1300 ml aged rum,aged rum
1300 ml amaro,amaro
1300 ml apple brandy,apple brandy
1300 ml apple cider,apple cider
1300 ml averna,averna
1300 ml becherovka,becherovka
1300 ml blanco tequila,blanco tequila
1300 ml cava,cava
1300 ml celery juice,celery juice
"1300 ml champagne, approximately",champagne
1300 ml cointreau,cointreau
1300 ml cranberry juice,cranberry juice
"1300 ml dry vermouth, chilled",dry vermouth
1300 ml elderflower liqueur,elderflower liqueur
1300 ml falernum,falernum
1300 ml freshly squeezed grapefruit juice,grapefruit juice
1300 ml galliano,galliano
1300 ml ginger juice,ginger juice
"1300 ml grapefruit juice, freshly squeezed",grapefruit juice
1300 ml grapefruit soda,grapefruit soda
"1300 ml hot, freshly brewed black coffee",black black bass
1300 ml lillet blanc,lillet blanc
1300 ml lillet rouge,lillet rouge
1300 ml mango schnapps,mango schnapps
"1300 ml orange juice, freshly squeezed",orange juice
1300 ml peach liqueur,peach liqueur
1300 ml pepper vodka,pepper vodka
1300 ml pimms,pimms
"1300 ml red grapefruit, fresh",red grapefruit
1300 ml rose champagne,rose petal
1300 ml seltzer,seltzer
"1300 ml seltzer, chilled",seltzer
1300 ml sweetened condensed milk,sweetened condensed milk
1300 ml unfiltered apple cider,apple cider
1300 ml vanilla,vanilla
1300 ml vanilla simple syrup,chia simple syrup
1300 ml vodka,vodka
"1300 ml water, hot",water
1300 ml whipped cream,whipped cream
1300 ml white rum,white rum
1300g amber rum,amber rum
1300g amer picon,amer picon
1300g angostura bitters,angostura bitters
1300g aperol,aperol
1300g averna,averna
1300g basil simple syrup,simple syrup
1300g becherovka,becherovka
1300g bornholmer bitter,bornholmer bitter
1300g chilled champagne,champagne
1300g cranberry simple syrup,ginger simple syrup
1300g demerara simple syrup,simple simple syrup
1300g drinking vinegar,vinegar vinegar
"1300g dry lambrusco, chilled",vodka
1300g ginger beer,ginger beer
1300g granny smith apple cider,sparkling apple cider
1300g grapefruit juice,grapefruit juice
1300g green chartreuse,green bell pepper
"1300g hot, freshly brewed black coffee",black black bass
1300g ice cube,ice cube
1300g lavender simple syrup,simple syrup
"1300g lemon juice, freshly squeezed",lemon juice
"1300g lime juice, fresh",lime juice
1300g mango schnapps,mango schnapps
1300g mint-flavored simple syrup,simple syrup
1300g peach liqueur,peach liqueur
1300g pomegranate juice,pomegranate juice
1300g rich simple syrup,simple syrup
1300g rosemary simple syrup,simple syrup
1300g scotch,scotch
"1300g sparkling wine, preferable moscato",sparkling wine
1300g tonic water,tonic water
1300g vanilla,vanilla
1300g vanilla simple syrup,chia simple syrup
1300g water,water
"1300g water, boiling",water
1300g white vermouth,white vermouth
1300ml ale,ale vinegar
1300ml applejack (optional),applejack
1300ml averna,averna
1300ml brandy,brandy
1300ml champagne,champagne
1300ml chilled champagne,champagne
1300ml creme de cacao,creme de cacao
1300ml dry curacao,dry curacao
1300ml dry prosecco,plantain
1300ml freshly squeezed lemon juice,lemon juice
"1300ml ginger, peeled",ginger
1300ml ice cube (optional),ice cube
1300ml Jameson whiskey,rainbow whiskey
"1300ml large lime juice, fresh",lime juice
"1300ml lemon juice, fresh (optional)",lemon juice
1300ml lillet blanc,lillet blanc
"1300ml lime juice, freshly squeezed",lime juice
1300ml mint-flavored simple syrup,simple syrup
1300ml old tom gin,old tom gin
1300ml pepper vodka,pepper vodka
1300ml pomegranate molasses,pomegranate molasses
1300ml port,port
1300ml rooibos simple syrup,narrow malt syrup
"1300ml seltzer, chilled",seltzer
"1300ml simple syrup, made with honey instead of sugar",simple syrup
"1300ml simple syrup, preferably made with turbinado sugar",simple syrup
1300ml sweetened condensed milk,sweetened condensed milk
1300ml the king's ginger,ginger ginger
1300ml vodka (optional),vodka
1300ml walnut liqueur,walnut liqueur
1300ml whipped cream,whipped cream
1350 g blanco tequila,blanco tequila
"1350 g blood orange juice, fresh",blood orange juice
"1350 g celery juice, fresh",celery juice
1350 g champagne,champagne
1350 g cold water,water
1350 g drinking vinegar,vinegar vinegar
1350 g dry curacao,dry vermouth
1350 g fresh pomegranate juice,pomegranate juice
"1350 g ginger juice, fresh",ginger juice
1350 g grade B maple syrup,maple syrup
1350 g grapefruit juice,grapefruit juice
"1350 g grapefruit juice, fresh squeezed",grapefruit juice
"1350 g grapefruit juice, freshly squeezed",grapefruit juice
1350 g ice cube,ice cube
1350 g lemon juice (optional),lemon juice
"1350 g lemon juice, freshly squeezed",lemon juice
1350 g lemon simple syrup,poppy simple syrup
1350 g mint simple syrup,simple syrup
1350 g old tom gin,old tom gin
1350 g orange ginger simple syrup,ginger simple syrup
"1350 g orange juice, freshly squeezed",orange juice
"1350 g pink grapefruit juice, freshly squeezed",pink grapefruit juice
1350 g pisco,pisco
1350 g pomegranate molasses,pomegranate molasses
1350 g prepared spiced simple syrup,rock simple syrup
1350 g rye whiskey (optional),rye whiskey
"1350 g seltzer, chilled",seltzer
1350 g single-malt scotch,scotch
"1350 g sparkling wine, preferable moscato",sparkling wine
1350 g sweet vermouth,sweet vermouth
1350 g sweetened condensed milk,sweetened condensed milk
1350 g tonic water,tonic water
1350 g unfiltered apple cider,apple cider
1350 ml aperol,aperol
1350 ml apricot brandy,apricot brandy
1350 ml averna,averna
1350 ml benedictine,benedictine
1350 ml cachaca,cachaca
1350 ml campari,campari
1350 ml celery juice,celery juice
1350 ml chicory-infused rye whiskey,rye whiskey powder
1350 ml cointreau,cointreau
1350 ml crushed ice,crushed ice
1350 ml green chartreuse,green chartreuse
1350 ml lemon juice,lemon juice
"1350 ml lemon, freshly squeezed",lemon
1350 ml mezcal,mezcal
1350 ml passionfruit simple syrup,simple syrup
1350 ml pine liqueur,pine liqueur
1350 ml pisco,pisco
1350 ml the king's ginger,ginger ginger
1350 ml tomato juice,tomato juice
1350 ml tonic water,tonic water
1350 ml vanilla,vanilla
1350 ml water,water
1350 ml white rum,white rum
1350g apple cider,apple cider
1350g becherovka,becherovka
1350g bornholmer bitter,bornholmer bitter
1350g cardamom pod,cardamom pod
"1350g celery juice, fresh",celery juice
1350g chilled ginger beer,ginger beer
1350g drambuie,drambuie
1350g dry sherry,dry sherry
1350g dry vermouth,dry vermouth
"1350g dry vermouth, chilled",dry vermouth
1350g dubonnet,dubonnet
1350g elderflower liqueur,elderflower liqueur
1350g ginger juice,ginger juice
1350g grenadine,grenadine
"1350g hot, freshly brewed black coffee",black black bass
1350g ice cube (optional),ice cube
"1350g large lime juice, fresh",lime juice
1350g lavender simple syrup,simple syrup
"1350g lemon juice, fresh",lemon juice
"1350g lemon juice, freshly squeezed",lemon juice
1350g old tom gin,old tom gin
"1350g orange juice, fresh squeezed",orange juice
"1350g pink grapefruit juice, freshly squeezed",pink grapefruit juice
1350g rich simple syrup,simple syrup
1350g rooibos simple syrup,narrow malt syrup
1350g saint germain,saint germain
"1350g seltzer, chilled",seltzer
1350g simple syrup,simple syrup
"1350g strawberry, sliced",strawberry
1350g vermouth,vermouth
1350g white rum,white rum
1350ml aged rum,aged rum
1350ml amaretto,amaretto
1350ml aperol,aperol
1350ml averna,averna
1350ml benedictine,benedictine
1350ml brandy,brandy
1350ml cachaca,cachaca
